Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,# Rules Removed via Rule Compaction,Total Global Time,Total Matching Time,Total Covering Time,Total Crossover Time,Total Mutation Time,Total Attribute Tracking Time,Total Expert Knowledge Time,Total Model Initialization Time,Total Classifier Add Time,Total Rule Compaction Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
52,0.58,0,27,29,5,3,27.0,0,0,0,0,0,0,0.6316390037536621,0.0019931793212890625,0.0005185604095458984,0.0,0.0012507438659667969,0.048986196517944336,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.0531158447265625e-05,0.00014829635620117188,0.00011944770812988281,0.0031664371490478516
53,0.58,0,27,29,5,3,30.75,0,0,0,0,0,0,0.6318421363830566,0.0020513534545898438,0.0005185604095458984,0.0,0.0012507438659667969,0.0490262508392334,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.0531158447265625e-05,0.00014829635620117188,0.00011944770812988281,0.0032296180725097656
54,0.58,0,27,29,3,2,29.666666666666668,0,0,0,0,0,0,0.6320281028747559,0.002108335494995117,0.0005197525024414062,0.0,0.0012507438659667969,0.049062252044677734,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.1484832763671875e-05,0.00014829635620117188,0.00011944770812988281,0.0032868385314941406
55,0.56,0,27,29,2,1,32.0,0,0,0,0,0,0,0.632209300994873,0.0021703243255615234,0.0005207061767578125,0.0,0.0012507438659667969,0.049097299575805664,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.220008850097656e-05,0.00014829635620117188,0.00011944770812988281,0.0033407211303710938
56,0.56,0,27,29,4,1,32.0,0,0,0,0,0,0,0.6324050426483154,0.002237558364868164,0.0005207061767578125,0.0,0.0012507438659667969,0.04913330078125,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.315376281738281e-05,0.00014829635620117188,0.00011944770812988281,0.0033996105194091797
57,0.56,0,27,29,5,3,27.0,0,0,0,0,0,0,0.6326000690460205,0.0022945404052734375,0.0005216598510742188,0.0,0.0012507438659667969,0.04917001724243164,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.410743713378906e-05,0.00014829635620117188,0.00011944770812988281,0.0034596920013427734
58,0.54,0,27,29,4,2,23.333333333333332,0,0,0,0,0,0,0.6327900886535645,0.002353668212890625,0.0005216598510742188,0.0,0.0012507438659667969,0.04920601844787598,2.8848648071289062e-05,0.6204440593719482,0.0001347064971923828,0.0,4.5299530029296875e-05,0.00014829635620117188,0.00011944770812988281,0.0035181045532226562
59,0.52,0,28,31,3,2,34.0,0,0,2,0,0,0,0.633465051651001,0.00241851806640625,0.000522613525390625,0.0,0.0016336441040039062,0.04924201965332031,2.8848648071289062e-05,0.6204440593719482,0.00016355514526367188,0.0,4.5299530029296875e-05,0.0001862049102783203,0.00013756752014160156,0.003580331802368164
60,0.5,0,28,31,7,4,33.6,0,0,0,0,0,0,0.633709192276001,0.0024814605712890625,0.000522613525390625,0.0,0.0016336441040039062,0.049288034439086914,2.8848648071289062e-05,0.6204440593719482,0.00016355514526367188,0.0,4.649162292480469e-05,0.0001862049102783203,0.00013756752014160156,0.0036611557006835938
61,0.52,0,28,31,4,2,33.0,0,0,0,0,0,0,0.6339089870452881,0.0025374889373779297,0.000522613525390625,0.0,0.0016336441040039062,0.049326181411743164,2.8848648071289062e-05,0.6204440593719482,0.00016355514526367188,0.0,4.76837158203125e-05,0.0001862049102783203,0.00013756752014160156,0.0037260055541992188
62,0.52,0,28,31,5,2,25.5,0,0,0,0,0,0,0.6341071128845215,0.002594470977783203,0.0005235671997070312,0.0,0.0016336441040039062,0.04936408996582031,2.8848648071289062e-05,0.6204440593719482,0.00016355514526367188,0.0,4.839897155761719e-05,0.0001862049102783203,0.00013756752014160156,0.0037889480590820312
63,0.52,0,28,31,5,4,36.0,0,0,0,0,0,0,0.6343111991882324,0.0026543140411376953,0.0005235671997070312,0.0,0.0016336441040039062,0.04940176010131836,2.8848648071289062e-05,0.6204440593719482,0.00016355514526367188,0.0,4.9114227294921875e-05,0.0001862049102783203,0.00013756752014160156,0.0038509368896484375
64,0.52,0,30,33,5,2,30.5,0,1,2,0,0,0,0.6349523067474365,0.002723217010498047,0.0005245208740234375,4.8160552978515625e-05,0.001905679702758789,0.04943966865539551,2.8848648071289062e-05,0.6204440593719482,0.00019693374633789062,0.0,4.982948303222656e-05,0.00022721290588378906,0.00015544891357421875,0.003911733627319336
65,0.5,0,32,35,4,2,25.5,0,0,2,0,0,0,0.6355991363525391,0.0027832984924316406,0.0005254745483398438,4.8160552978515625e-05,0.0021986961364746094,0.04949665069580078,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.1021575927734375e-05,0.0002760887145996094,0.00017833709716796875,0.003985404968261719
66,0.52,0,32,35,4,2,33.0,0,0,0,0,0,0,0.6358320713043213,0.002850055694580078,0.00052642822265625,4.8160552978515625e-05,0.0021986961364746094,0.049538612365722656,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.221366882324219e-05,0.0002760887145996094,0.00017833709716796875,0.004064083099365234
67,0.5,0,32,35,2,1,34.0,0,0,0,0,0,0,0.6360383033752441,0.002924203872680664,0.0005273818969726562,4.8160552978515625e-05,0.0021986961364746094,0.0495758056640625,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.2928924560546875e-05,0.0002760887145996094,0.00017833709716796875,0.004126310348510742
68,0.48,0,32,35,5,2,38.0,0,0,0,0,0,0,0.6362559795379639,0.0029921531677246094,0.0005283355712890625,4.8160552978515625e-05,0.0021986961364746094,0.04961395263671875,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.412101745605469e-05,0.0002760887145996094,0.00017833709716796875,0.0041942596435546875
69,0.48,0,32,35,3,2,25.0,0,0,0,0,0,0,0.636451244354248,0.003055095672607422,0.0005283355712890625,4.8160552978515625e-05,0.0021986961364746094,0.04965066909790039,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.507469177246094e-05,0.0002760887145996094,0.00017833709716796875,0.004255056381225586
70,0.5,0,32,35,5,3,40.25,0,0,0,0,0,0,0.636674165725708,0.003130197525024414,0.0005295276641845703,4.8160552978515625e-05,0.0021986961364746094,0.04969429969787598,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.602836608886719e-05,0.0002760887145996094,0.00017833709716796875,0.004314899444580078
71,0.5,0,32,35,4,2,24.666666666666668,0,0,0,0,0,0,0.6368823051452637,0.003199338912963867,0.0005304813385009766,4.8160552978515625e-05,0.0021986961364746094,0.04973435401916504,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.698204040527344e-05,0.0002760887145996094,0.00017833709716796875,0.0043752193450927734
72,0.52,0,32,35,3,2,24.666666666666668,0,0,0,0,0,0,0.6370820999145508,0.0032660961151123047,0.0005304813385009766,4.8160552978515625e-05,0.0021986961364746094,0.04977107048034668,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.793571472167969e-05,0.0002760887145996094,0.00017833709716796875,0.004432201385498047
73,0.5,0,32,35,6,4,33.6,0,0,0,0,0,0,0.6372921466827393,0.003329038619995117,0.0005316734313964844,4.8160552978515625e-05,0.0021986961364746094,0.04980826377868652,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.793571472167969e-05,0.0002760887145996094,0.00017833709716796875,0.004496097564697266
74,0.5,0,32,35,4,1,32.0,0,0,0,0,0,0,0.63749098777771,0.0034003257751464844,0.0005323886871337891,4.8160552978515625e-05,0.0021986961364746094,0.04984331130981445,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.888938903808594e-05,0.0002760887145996094,0.00017833709716796875,0.004555463790893555
75,0.52,0,32,35,5,3,33.5,0,0,0,0,0,0,0.6376931667327881,0.003464221954345703,0.0005333423614501953,4.8160552978515625e-05,0.0021986961364746094,0.04987931251525879,2.8848648071289062e-05,0.6204440593719482,0.00023603439331054688,0.0,5.888938903808594e-05,0.0002760887145996094,0.00017833709716796875,0.004617452621459961
76,0.5,0,33,37,4,1,14.0,0,0,1,0,0,0,0.6382761001586914,0.0035309791564941406,0.0005333423614501953,4.8160552978515625e-05,0.00247955322265625,0.04991555213928223,2.8848648071289062e-05,0.6204440593719482,0.000270843505859375,0.0,5.888938903808594e-05,0.00032019615173339844,0.00019311904907226562,0.004679441452026367
77,0.5,0,33,37,7,4,33.5,0,0,0,0,0,0,0.6385171413421631,0.003599882125854492,0.0005342960357666016,4.8160552978515625e-05,0.00247955322265625,0.04995560646057129,2.8848648071289062e-05,0.6204440593719482,0.000270843505859375,0.0,6.008148193359375e-05,0.00032019615173339844,0.00019311904907226562,0.004758596420288086
78,0.52,0,33,37,2,1,34.0,0,0,0,0,0,0,0.6387112140655518,0.003673076629638672,0.0005354881286621094,4.8160552978515625e-05,0.00247955322265625,0.04999041557312012,2.8848648071289062e-05,0.6204440593719482,0.000270843505859375,0.0,6.103515625e-05,0.00032019615173339844,0.00019311904907226562,0.004815578460693359
