cig_stat,cig_stop,cig_years,pack_years,total_alcadj,total_fatadj,tot_Kcal,totalcarbadj,total_proteinadj,totalfolate_NDSRadj,total_GlyIndex,total_GlyLoad,totalcholadj,Totalredmeatadj,totalCALCIUMadj,bmi_curc,bmi_curr,diabetes_f,panc_fh,fh_cancer,bmi_20,bmi_50,asp,asppd,ibup,ibuppd,gallblad_f,liver_comorbidity,age,agelevel,educat,race7,total_Marital,occupat,center,rndyear,sex,panc_type01,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,1.0,0.532967032967033,0.532967032967033,9,178.6061366247132,19996,11644,0.02702702702702703,0.06940886797197685,97,182,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,1.0,0.39883040935672515,0.39883040935672515,3,179.19124270571893,19964,11661,0.05405405405405406,0.002146926812271396,341,855,True
#,#,#,#,#,#,#,#,"-959.9991,1728.04129463",#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,"-959.9991,2887.9973449999998",#,#,1.0,#,#,#,#,#,1.0,0.14105365379946588,0.14105365379946588,1,213.61032528775667,19991,11691,0.10810810810810811,0.0008816813507646528,581,4119,True
1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2887.9973449999998",#,5.0,1.0,#,#,#,#,#,1.0,0.21739130434782608,0.21739130434782608,1,219.02462042635048,19890,11749,0.10810810810810811,0.0008747262106499686,45,207,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2710.0907532000006",#,#,#,#,"-959.9991,1224.0800666",#,#,#,#,#,#,#,#,#,#,#,#,4.0,#,#,1.0,0.16783216783216784,0.16783216783216784,1,202.15956748343677,19777,11780,0.08108108108108109,0.0008073716647343115,144,858,True
#,#,"-580.2434831895191,1751.5524567896216",#,#,#,#,#,#,#,#,#,#,"-959.9991,2304.00158076",#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.8801261829652997,0.8801261829652997,1,216.2470499696954,19990,11894,0.08108108108108109,0.0008980212615416291,3348,3804,True
#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,1872.31248967",3.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,2.0,#,#,1.0,0.0,0.9278846153846154,0.9278846153846154,1,234.09436133654737,19979,11959,0.10810810810810811,0.0009349107567352152,1158,1248,True
#,#,#,#,"-959.9991,2063.9980649999998",#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,"-959.9991,2032.9981550000002",#,#,#,#,#,#,#,#,0.0,0.867156734050932,0.867156734050932,1,219.00094241572145,19990,11997,0.05405405405405406,0.0009195023467356061,6606,7618,True
#,#,#,#,#,#,"-959.9991,7840.836463874805",#,#,#,#,#,"-959.9991,2544.0870701500003",#,"-959.9991,2544.41373375",#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,0.9166085136078158,0.9166085136078158,1,238.25985766835763,19990,12065,0.13513513513513514,0.0009647857318501755,2627,2866,True
0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,3.0,#,#,#,#,#,#,#,1.0,0.2078559738134206,0.2078559738134206,1,191.22234137865786,19940,12095,0.05405405405405406,0.0007479383407316965,127,611,True
