Specified Values,Specified Attribute Names,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_1, A_3, R_7, R_8, R_11, R_12",1.0,0.12086380610771207,0.8095238095238095,1,46.269395599308965,9937,5047,0.35,0.0003291513118769531,34,42,False
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_9, R_14",0.0,1.0,1.0,2,37.66838760461741,9984,5059,0.3,0.000535930890635388,68,68,False
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_3, R_7",0.0,1.0,1.0,1,56.444246081638184,9953,5064,0.3,0.0004015331820317586,80,80,False
"0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_7, R_12, R_14, R_15",0.0,0.15070665761559107,0.8275862068965517,1,37.07879508082521,9172,5111,0.4,0.0002637712009329253,24,29,False
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_3, R_7, R_10, R_11",1.0,1.0,1.0,1,53.90429971677184,9656,5141,0.4,0.00038346450688992595,18,18,False
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, A_3, R_3, R_7, R_11",1.0,0.0917287815252124,0.7875,1,52.756906808954014,9995,5141,0.3,0.00037530218110298205,63,80,False
"1.0, 0.0, 1.0, 0.0","A_0, A_2, A_3, R_9",0.0,0.0839748775630282,0.7805755395683454,1,40.87554872100766,9998,5150,0.2,0.0002907805539913066,217,278,False
"1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, A_3, R_8, R_9, R_14, R_15",0.0,1.0,1.0,1,50.82436884086784,9591,5163,0.4,0.0003615544889360871,18,18,False
"0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_2, A_3, R_1, R_5, R_14",0.0,1.0,1.0,4,53.56823417969838,9935,5165,0.3,0.0015242952130062313,75,75,False
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, A_3, R_0, R_15",1.0,1.0,1.0,1,67.14680903210085,9971,5166,0.3,0.0004776690941170912,78,78,False
"0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_9, R_15",1.0,1.0,1.0,1,49.948237182271356,9788,5192,0.35,0.00035532186192489113,38,38,False
"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, A_3, R_0, R_7, R_8, R_10",0.0,1.0,1.0,1,42.9872442925056,9989,5234,0.4,0.000305802737848268,17,17,False
"0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_0, A_1, A_3, R_2, R_4, R_7, R_10, R_15",0.0,0.004562132974169934,0.5833333333333334,1,36.420672,8573,5239,0.4,0.0002590894437449547,7,12,False
